"p","a","b","x"
-1.22,-2,0,0
-1.22,2,0,0
-1.22,0,0,0
-1.21,-2,-0.1,-0.0976304268990689
-1.21,2,-0.1,-0.07341015478749127
-1.21,0,-0.1,-0.08218584677344415
-1.21,-2,0.1,0.07341015478749127
-1.21,2,0.1,0.0976304268990689
-1.21,0,0.1,0.08218584677344415
-1.21,-2,0,0
-1.21,2,0,0
-1.21,0,0,0
-1.2,-2,-0.1,-0.09879814135564281
-1.2,2,-0.1,-0.07389602941863452
-1.2,0,-0.1,-0.08285926388681826
-1.2,-2,0.1,0.07389602941863452
-1.2,2,0.1,0.09879814135564281
-1.2,0,0.1,0.08285926388681826
-1.2,-2,0,0
-1.2,2,0,0
-1.2,0,0,0
-1.19,-2,-0.1,-0.1
-1.19,2,-0.1,-0.0743876671671583
-1.19,0,-0.1,-0.08354361707636257
-1.19,-2,0.1,0.0743876671671583
-1.19,2,0.1,0.1
-1.19,0,0.1,0.08354361707636257
-1.19,-2,0,0
-1.19,2,0,0
-1.19,0,0,0
-1.18,-2,-0.1,-0.10123778108272594
-1.18,2,-0.1,-0.07488515784992994
-1.18,0,-0.1,-0.08423916851890903
-1.18,-2,0.1,0.07488515784992994
-1.18,2,0.1,0.10123778108272594
-1.18,0,0.1,0.08423916851890903
-1.18,-2,0,0
-1.18,2,0,0
-1.18,0,0,0
-1.17,-2,-0.1,-0.10251340420437752
-1.17,2,-0.1,-0.07538859282492968
